Percent poor,Percent fair,Percent good,Fair flag,Good flag,Poor flag,postcode,Tree Count,Population,Median Income,tree_id,Trees per 100 Residents
3.811015401,16.679718089,79.509266510,1278,6092,292,11414,7662,29219,98209,7662,14.993668500
8.102189781,17.299270073,74.598540146,237,1022,111,10075,1370,23140,146556,1370,3.764044944
3.558078361,13.872352208,82.569569431,1002,5964,257,11355,7223,80853,53700,7223,6.175404747
3.906714201,12.254901961,83.838383838,825,5644,263,11433,6732,36489,71177,6732,9.671407822
3.663556531,11.031833150,85.304610318,804,6217,267,11210,7288,67040,83261,7288,7.719272076
3.063583815,16.242774566,80.693641618,562,2792,106,10023,3460,62435,157866,3460,3.528469608
2.985196696,13.224830294,83.789973011,1617,10245,365,11365,12227,44983,85375,12227,15.845986260
2.914012739,12.484076433,84.601910828,784,5313,183,10467,6280,103732,47806,6280,3.932248486
3.360509729,14.904768430,81.734721842,4351,23860,981,10314,29192,90761,104655,29192,17.992309470
4.638554217,9.518072289,85.843373494,158,1425,77,11239,1660,13244,35675,1660,7.195711265
3.308641975,17.020576132,79.670781893,1034,4840,201,11238,6075,54540,132957,6075,6.862852952
7.201379905,28.201811125,64.596808969,654,1498,167,10019,2319,43703,121835,2319,3.704551175
4.464973056,17.032332564,78.502694380,885,4079,232,10458,5196,83960,42107,5196,3.825631253
6.131549610,23.299888517,70.568561873,418,1266,110,10012,1794,23411,130938,1794,4.399641194
4.393998441,17.342166797,78.263834762,1780,8033,451,11236,10264,100331,82813,10264,6.429717635
3.457627119,14.024213075,82.518159806,1448,8520,357,11361,10325,27246,108391,10325,21.794024810
3.803339518,21.985157699,74.211502783,474,1600,82,11104,2156,26119,84716,2156,6.183238256
2.424665735,9.808421473,87.766912792,983,8796,243,11209,10022,67809,92656,10022,8.754000206
5.707243079,19.700417141,74.592339780,1039,3934,301,10303,5274,25947,79429,5274,11.831811
